Subfamily	TF	MethylampDAP	ampDAP	DAP	Me-SELEX	SELEX
I	WRKY58	4	4	4	4	4
I	WRKY45	1	3	3	1	3
I	WRKY44	4	1	1	4	1
I	WRKY4	1	1	1	1	1
I	WRKY34	4	4	4	4	4
I	WRKY33	1	1	3	1	3
I	WRKY32	1	1	4	1	1
I	WRKY3	1	1	3	4	1
I	WRKY26	1	3	3	4	1
I	WRKY25	1	3	3	1	3
I	WRKY20	4	4	2	4	4
I	WRKY2	4	4	4	4	2
I	WRKY19	4	4	4	4	4
I	WRKY10	1	4	4	4	4
I	WRKY1	4	4	4	4	2
IIa	WRKY60	4	1	1	4	3
IIa	WRKY40	1	2	4	1	3
IIa	WRKY18	1	3	3	1	3
IIb	WRKY9	4	1	4	4	1
IIb	WRKY72	4	1	1	4	1
IIb	WRKY61	4	4	4	4	4
IIb	WRKY6	4	2	2	4	4
IIb	WRKY47	4	3	3	4	3
IIb	WRKY42	1	3	3	4	1
IIb	WRKY36	4	4	4	4	1
IIb	WRKY31	1	3	3	4	1
IIc	WRKY8	1	3	3	1	3
IIc	WRKY75	1	3	3	1	3
IIc	WRKY71	1	1	3	1	1
IIc	WRKY68	4	4	4	4	4
IIc	WRKY59	4	1	2	4	4
IIc	WRKY57	4	4	4	4	2
IIc	WRKY56	1	1	1	4	1
IIc	WRKY51	4	1	1	4	3
IIc	WRKY50	1	3	2	4	1
IIc	WRKY49	4	1	1	4	1
IIc	WRKY48	1	1	1	1	3
IIc	WRKY43	4	3	3	4	3
IIc	WRKY28	1	3	3	1	1
IIc	WRKY24	1	3	3	4	1
IIc	WRKY23	1	3	1	1	3
IIc	WRKY13	4	4	4	4	1
IIc	WRKY12	1	1	1	4	3
IId	WRKY74	4	4	4	4	4
IId	WRKY7	4	3	3	4	1
IId	WRKY39	4	1	4	4	1
IId	WRKY21	1	3	3	4	3
IId	WRKY17	1	3	2	4	3
IId	WRKY15	1	3	3	1	3
IId	WRKY11	1	1	3	1	3
IIe	WRKY69	1	1	1	4	1
IIe	WRKY65	1	3	3	1	1
IIe	WRKY35	1	1	1	1	1
IIe	WRKY29	1	3	3	1	3
IIe	WRKY27	4	3	3	4	3
IIe	WRKY22	4	2	2	4	2
IIe	WRKY16	4	4	4	4	1
IIe	WRKY14	1	3	3	1	3
III	WRKY70	1	1	3	1	1
III	WRKY67	4	1	4	4	1
III	WRKY66	4	4	4	4	4
III	WRKY64	4	4	4	4	4
III	WRKY63	4	1	4	4	3
III	WRKY62	4	4	4	4	3
III	WRKY55	1	1	3	1	1
III	WRKY54	4	1	1	4	1
III	WRKY53	1	1	1	4	3
III	WRKY52	4	4	4	4	4
III	WRKY46	4	3	3	1	1
III	WRKY41	1	1	1	4	1
III	WRKY38	4	4	4	4	2
III	WRKY30	1	3	3	4	3
